




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2409)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
renal tubule development (GO:0061326)	81	29	9.47	+	3.06	2.05E-06	1.02E-04
regulation of peptide transport (GO:0090087)	228	57	26.67	+	2.14	2.02E-06	1.01E-04
regulation of cell projection organization (GO:0031344)	648	123	75.80	+	1.62	2.00E-06	1.00E-04
regulation of neuronal synaptic plasticity (GO:0048168)	49	22	5.73	+	3.84	1.92E-06	9.62E-05
response to lipid (GO:0033993)	831	150	97.20	+	1.54	1.90E-06	9.55E-05
positive regulation of phosphorus metabolic process (GO:0010562)	998	174	116.74	+	1.49	1.86E-06	9.46E-05
regulation of anatomical structure size (GO:0090066)	514	103	60.12	+	1.71	1.87E-06	9.46E-05
positive regulation of phosphate metabolic process (GO:0045937)	998	174	116.74	+	1.49	1.86E-06	9.43E-05
mesonephros development (GO:0001823)	85	30	9.94	+	3.02	1.75E-06	8.94E-05
regulation of cell cycle process (GO:0010564)	792	49	92.64	-	.53	1.75E-06	8.93E-05
blood vessel morphogenesis (GO:0048514)	410	87	47.96	+	1.81	1.72E-06	8.82E-05
nephron morphogenesis (GO:0072028)	66	26	7.72	+	3.37	1.66E-06	8.58E-05
renal tubule morphogenesis (GO:0061333)	66	26	7.72	+	3.37	1.66E-06	8.55E-05
regulation of dopamine secretion (GO:0014059)	36	19	4.21	+	4.51	1.52E-06	7.90E-05
diencephalon development (GO:0021536)	79	29	9.24	+	3.14	1.37E-06	7.14E-05
translational elongation (GO:0006414)	127	0	14.86	-	 < 0.01	1.36E-06	7.13E-05
RNA catabolic process (GO:0006401)	248	6	29.01	-	.21	1.37E-06	7.12E-05
metanephros development (GO:0001656)	79	29	9.24	+	3.14	1.37E-06	7.12E-05
renal system development (GO:0072001)	291	68	34.04	+	2.00	1.31E-06	6.91E-05
regulation of signal transduction (GO:0009966)	3128	459	365.88	+	1.25	1.29E-06	6.80E-05
organelle fission (GO:0048285)	369	14	43.16	-	.32	1.21E-06	6.41E-05
cellular response to chemical stimulus (GO:0070887)	2914	432	340.85	+	1.27	1.16E-06	6.20E-05
mRNA catabolic process (GO:0006402)	215	4	25.15	-	.16	1.11E-06	5.94E-05
regulation of hormone secretion (GO:0046883)	276	66	32.28	+	2.04	1.09E-06	5.84E-05
nephron development (GO:0072006)	126	39	14.74	+	2.65	1.07E-06	5.75E-05
regulation of potassium ion transmembrane transport (GO:1901379)	106	35	12.40	+	2.82	1.06E-06	5.70E-05
nephron epithelium morphogenesis (GO:0072088)	64	26	7.49	+	3.47	1.05E-06	5.67E-05
regionalization (GO:0003002)	317	73	37.08	+	1.97	9.63E-07	5.23E-05
nephron tubule development (GO:0072080)	77	29	9.01	+	3.22	8.97E-07	4.89E-05
regulation of cell population proliferation (GO:0042127)	1654	267	193.47	+	1.38	8.83E-07	4.83E-05
embryonic morphogenesis (GO:0048598)	570	113	66.67	+	1.69	8.74E-07	4.79E-05
positive regulation of cellular process (GO:0048522)	5741	788	671.53	+	1.17	8.55E-07	4.73E-05
posttranscriptional regulation of gene expression (GO:0010608)	581	30	67.96	-	.44	8.55E-07	4.71E-05
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	122	73.81	+	1.65	8.49E-07	4.71E-05
cellular ion homeostasis (GO:0006873)	659	127	77.08	+	1.65	7.41E-07	4.13E-05
regulation of cell motility (GO:2000145)	954	170	111.59	+	1.52	6.91E-07	3.86E-05
cardiac conduction (GO:0061337)	85	31	9.94	+	3.12	6.70E-07	3.76E-05
regulation of signaling receptor activity (GO:0010469)	188	51	21.99	+	2.32	6.65E-07	3.74E-05
nephron tubule morphogenesis (GO:0072078)	62	26	7.25	+	3.59	6.49E-07	3.68E-05
positive regulation of potassium ion transmembrane transport (GO:1901381)	62	26	7.25	+	3.59	6.49E-07	3.67E-05
pattern specification process (GO:0007389)	426	91	49.83	+	1.83	6.42E-07	3.65E-05
amide biosynthetic process (GO:0043604)	537	26	62.81	-	.41	6.09E-07	3.47E-05
negative regulation of nervous system development (GO:0051961)	148	44	17.31	+	2.54	5.87E-07	3.37E-05
DNA replication (GO:0006260)	273	7	31.93	-	.22	5.87E-07	3.36E-05
cellular cation homeostasis (GO:0030003)	642	125	75.09	+	1.66	5.43E-07	3.13E-05
striated muscle tissue development (GO:0014706)	286	69	33.45	+	2.06	4.35E-07	2.52E-05
positive regulation of secretion (GO:0051047)	317	74	37.08	+	2.00	4.30E-07	2.50E-05
calcium ion transmembrane transport (GO:0070588)	190	52	22.22	+	2.34	4.24E-07	2.48E-05
regulation of catecholamine secretion (GO:0050433)	56	25	6.55	+	3.82	4.25E-07	2.48E-05
neurotransmitter transport (GO:0006836)	142	43	16.61	+	2.59	4.15E-07	2.44E-05
calcium ion transport (GO:0006816)	244	62	28.54	+	2.17	3.98E-07	2.34E-05
immunoglobulin production (GO:0002377)	138	0	16.14	-	 < 0.01	3.92E-07	2.32E-05
homeostatic process (GO:0042592)	1680	273	196.51	+	1.39	3.91E-07	2.32E-05
metal ion transport (GO:0030001)	326	76	38.13	+	1.99	3.79E-07	2.26E-05
response to endogenous stimulus (GO:0009719)	1426	238	166.80	+	1.43	3.69E-07	2.21E-05
positive regulation of synaptic transmission (GO:0050806)	135	42	15.79	+	2.66	3.53E-07	2.12E-05
positive regulation of transmembrane transport (GO:0034764)	238	61	27.84	+	2.19	3.09E-07	1.87E-05
cellular chemical homeostasis (GO:0055082)	762	144	89.13	+	1.62	3.05E-07	1.85E-05
muscle system process (GO:0003012)	288	70	33.69	+	2.08	3.01E-07	1.83E-05
external encapsulating structure organization (GO:0045229)	386	86	45.15	+	1.90	2.82E-07	1.72E-05
mitochondrial gene expression (GO:0140053)	142	0	16.61	-	 < 0.01	2.61E-07	1.60E-05
production of molecular mediator of immune response (GO:0002440)	141	0	16.49	-	 < 0.01	2.57E-07	1.58E-05
positive regulation of nervous system development (GO:0051962)	274	68	32.05	+	2.12	2.56E-07	1.58E-05
extracellular structure organization (GO:0043062)	384	86	44.92	+	1.91	2.54E-07	1.58E-05
extracellular matrix organization (GO:0030198)	383	86	44.80	+	1.92	2.44E-07	1.52E-05
cellular response to stress (GO:0033554)	1741	133	203.65	-	.65	2.33E-07	1.46E-05
regulation of neurotransmitter receptor activity (GO:0099601)	80	31	9.36	+	3.31	2.31E-07	1.45E-05
neuron fate commitment (GO:0048663)	62	27	7.25	+	3.72	2.20E-07	1.38E-05
nephron epithelium development (GO:0072009)	98	35	11.46	+	3.05	1.98E-07	1.25E-05
regulation of neuron differentiation (GO:0045664)	193	54	22.58	+	2.39	1.59E-07	1.01E-05
regulation of axonogenesis (GO:0050770)	161	48	18.83	+	2.55	1.51E-07	9.60E-06
regulation of potassium ion transport (GO:0043266)	120	40	14.04	+	2.85	1.44E-07	9.28E-06
positive regulation of cell differentiation (GO:0045597)	840	157	98.25	+	1.60	1.45E-07	9.28E-06
embryo development (GO:0009790)	991	179	115.92	+	1.54	1.42E-07	9.25E-06
muscle tissue development (GO:0060537)	301	73	35.21	+	2.07	1.43E-07	9.24E-06
RNA splicing (GO:0008380)	409	15	47.84	-	.31	1.43E-07	9.24E-06
cellular metal ion homeostasis (GO:0006875)	561	115	65.62	+	1.75	1.41E-07	9.22E-06
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	2	22.81	-	.09	1.40E-07	9.20E-06
regulation of anatomical structure morphogenesis (GO:0022603)	967	176	113.11	+	1.56	1.31E-07	8.66E-06
protein metabolic process (GO:0019538)	4203	384	491.63	-	.78	1.24E-07	8.17E-06
response to external stimulus (GO:0009605)	2525	390	295.35	+	1.32	1.05E-07	6.98E-06
learning or memory (GO:0007611)	256	66	29.94	+	2.20	1.03E-07	6.90E-06
inner ear development (GO:0048839)	195	55	22.81	+	2.41	1.03E-07	6.88E-06
response to chemical (GO:0042221)	4381	629	512.45	+	1.23	9.94E-08	6.69E-06
regulation of synapse assembly (GO:0051963)	99	36	11.58	+	3.11	9.27E-08	6.26E-06
positive regulation of signaling (GO:0023056)	1761	288	205.98	+	1.40	9.17E-08	6.22E-06
regulation of locomotion (GO:0040012)	997	181	116.62	+	1.55	9.02E-08	6.15E-06
cell-cell adhesion (GO:0098609)	515	109	60.24	+	1.81	8.74E-08	5.98E-06
inorganic ion homeostasis (GO:0098771)	724	141	84.69	+	1.66	8.64E-08	5.93E-06
sensory organ morphogenesis (GO:0090596)	261	67	30.53	+	2.19	8.33E-08	5.75E-06
cellular protein modification process (GO:0006464)	2985	255	349.16	-	.73	8.17E-08	5.69E-06
protein modification process (GO:0036211)	2985	255	349.16	-	.73	8.17E-08	5.66E-06
protein deubiquitination (GO:0016579)	278	6	32.52	-	.18	7.98E-08	5.58E-06
organonitrogen compound catabolic process (GO:1901565)	1091	70	127.61	-	.55	7.25E-08	5.09E-06
learning (GO:0007612)	146	46	17.08	+	2.69	7.21E-08	5.08E-06
kidney epithelium development (GO:0072073)	126	42	14.74	+	2.85	6.92E-08	4.90E-06
cellular response to oxygen-containing compound (GO:1901701)	1075	193	125.74	+	1.53	6.69E-08	4.76E-06
ear development (GO:0043583)	220	60	25.73	+	2.33	6.30E-08	4.53E-06
cellular amide metabolic process (GO:0043603)	820	46	95.92	-	.48	6.31E-08	4.51E-06
regulation of cell development (GO:0060284)	500	107	58.49	+	1.83	6.03E-08	4.35E-06
protein ubiquitination (GO:0016567)	746	40	87.26	-	.46	5.72E-08	4.14E-06
regulation of neurotransmitter levels (GO:0001505)	218	60	25.50	+	2.35	5.29E-08	3.86E-06
positive regulation of potassium ion transport (GO:0043268)	69	30	8.07	+	3.72	4.90E-08	3.58E-06
cation homeostasis (GO:0055080)	710	140	83.05	+	1.69	4.86E-08	3.57E-06
RNA splicing, via transesterification reactions (GO:0000375)	306	7	35.79	-	.20	3.80E-08	2.81E-06
positive regulation of cell communication (GO:0010647)	1755	290	205.28	+	1.41	3.77E-08	2.80E-06
mRNA splicing, via spliceosome (GO:0000398)	303	7	35.44	-	.20	3.57E-08	2.67E-06
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	7	35.44	-	.20	3.57E-08	2.66E-06
regulation of transporter activity (GO:0032409)	300	75	35.09	+	2.14	3.35E-08	2.52E-06
positive regulation of ion transmembrane transport (GO:0034767)	187	55	21.87	+	2.51	3.14E-08	2.38E-06
metal ion homeostasis (GO:0055065)	626	128	73.22	+	1.75	3.02E-08	2.29E-06
cognition (GO:0050890)	298	75	34.86	+	2.15	2.91E-08	2.22E-06
epithelium development (GO:0060429)	1113	201	130.19	+	1.54	2.28E-08	1.75E-06
protein-containing complex assembly (GO:0065003)	1358	92	158.85	-	.58	2.10E-08	1.62E-06
regulation of amine transport (GO:0051952)	92	36	10.76	+	3.35	2.08E-08	1.61E-06
regulation of ion transmembrane transporter activity (GO:0032412)	272	71	31.82	+	2.23	2.00E-08	1.56E-06
protein modification by small protein removal (GO:0070646)	295	6	34.51	-	.17	1.97E-08	1.54E-06
cell projection organization (GO:0030030)	1221	217	142.82	+	1.52	1.86E-08	1.46E-06
cellular divalent inorganic cation homeostasis (GO:0072503)	460	103	53.81	+	1.91	1.73E-08	1.36E-06
positive regulation of cation transmembrane transport (GO:1904064)	171	53	20.00	+	2.65	1.53E-08	1.21E-06
positive regulation of transport (GO:0051050)	947	178	110.77	+	1.61	1.42E-08	1.14E-06
regulation of cytosolic calcium ion concentration (GO:0051480)	321	80	37.55	+	2.13	1.35E-08	1.09E-06
rRNA processing (GO:0006364)	262	4	30.65	-	.13	1.35E-08	1.08E-06
organonitrogen compound metabolic process (GO:1901564)	5246	488	613.63	-	.80	1.33E-08	1.08E-06
regulation of hormone levels (GO:0010817)	538	116	62.93	+	1.84	1.27E-08	1.03E-06
regulation of cellular component movement (GO:0051270)	1032	191	120.71	+	1.58	1.25E-08	1.03E-06
regulation of developmental growth (GO:0048638)	320	80	37.43	+	2.14	1.26E-08	1.03E-06
calcium ion homeostasis (GO:0055074)	438	100	51.23	+	1.95	1.22E-08	1.01E-06
cellular calcium ion homeostasis (GO:0006874)	425	98	49.71	+	1.97	1.16E-08	9.66E-07
divalent inorganic cation homeostasis (GO:0072507)	481	107	56.26	+	1.90	1.07E-08	8.97E-07
mitotic cell cycle process (GO:1903047)	675	32	78.95	-	.41	1.02E-08	8.59E-07
cell surface receptor signaling pathway (GO:0007166)	2495	394	291.84	+	1.35	9.97E-09	8.43E-07
regulation of cation channel activity (GO:2001257)	186	56	21.76	+	2.57	9.50E-09	8.08E-07
cellular component biogenesis (GO:0044085)	2754	225	322.14	-	.70	8.78E-09	7.50E-07
regulation of transmembrane transporter activity (GO:0022898)	283	74	33.10	+	2.24	8.40E-09	7.22E-07
DNA repair (GO:0006281)	531	21	62.11	-	.34	8.34E-09	7.21E-07
plasma membrane bounded cell projection organization (GO:0120036)	1175	213	137.44	+	1.55	6.22E-09	5.40E-07
protein modification by small protein conjugation (GO:0032446)	822	43	96.15	-	.45	5.98E-09	5.22E-07
regulation of blood pressure (GO:0008217)	188	57	21.99	+	2.59	5.82E-09	5.11E-07
circulatory system development (GO:0072359)	877	170	102.58	+	1.66	4.39E-09	3.88E-07
response to stimulus (GO:0050896)	8540	1150	998.92	+	1.15	4.35E-09	3.86E-07
rRNA metabolic process (GO:0016072)	272	4	31.82	-	.13	4.25E-09	3.79E-07
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	64	25.97	+	2.46	4.09E-09	3.68E-07
peptide metabolic process (GO:0006518)	544	21	63.63	-	.33	3.37E-09	3.04E-07
ion homeostasis (GO:0050801)	773	156	90.42	+	1.73	1.94E-09	1.76E-07
locomotory behavior (GO:0007626)	181	57	21.17	+	2.69	1.75E-09	1.60E-07
mitochondrion organization (GO:0007005)	468	15	54.74	-	.27	1.71E-09	1.57E-07
regulation of postsynaptic membrane potential (GO:0060078)	99	40	11.58	+	3.45	1.68E-09	1.55E-07
cell migration (GO:0016477)	968	186	113.23	+	1.64	1.44E-09	1.34E-07
localization of cell (GO:0051674)	1109	207	129.72	+	1.60	1.38E-09	1.31E-07
cell motility (GO:0048870)	1109	207	129.72	+	1.60	1.38E-09	1.30E-07
cellular protein-containing complex assembly (GO:0034622)	867	45	101.41	-	.44	1.38E-09	1.29E-07
negative regulation of cell differentiation (GO:0045596)	644	137	75.33	+	1.82	1.35E-09	1.29E-07
response to oxygen-containing compound (GO:1901700)	1604	278	187.62	+	1.48	1.27E-09	1.22E-07
chemical homeostasis (GO:0048878)	1139	212	133.23	+	1.59	1.22E-09	1.18E-07
intracellular transport (GO:0046907)	1464	96	171.24	-	.56	1.01E-09	9.75E-08
ubiquitin-dependent protein catabolic process (GO:0006511)	545	20	63.75	-	.31	9.25E-10	9.02E-08
biosynthetic process (GO:0009058)	2865	230	335.12	-	.69	8.46E-10	8.31E-08
multicellular organismal signaling (GO:0035637)	128	47	14.97	+	3.14	8.36E-10	8.26E-08
modification-dependent protein catabolic process (GO:0019941)	552	20	64.57	-	.31	7.02E-10	6.98E-08
forebrain development (GO:0030900)	387	96	45.27	+	2.12	6.40E-10	6.40E-08
regulation of neuron projection development (GO:0010975)	447	106	52.29	+	2.03	6.06E-10	6.11E-08
positive regulation of developmental process (GO:0051094)	1271	233	148.67	+	1.57	5.11E-10	5.17E-08
cellular response to stimulus (GO:0051716)	6807	951	796.22	+	1.19	4.21E-10	4.30E-08
tube development (GO:0035295)	856	172	100.13	+	1.72	4.17E-10	4.28E-08
mRNA processing (GO:0006397)	486	15	56.85	-	.26	3.19E-10	3.30E-08
tube morphogenesis (GO:0035239)	654	141	76.50	+	1.84	2.88E-10	2.99E-08
G protein-coupled receptor signaling pathway (GO:0007186)	1305	239	152.65	+	1.57	2.80E-10	2.93E-08
modification-dependent macromolecule catabolic process (GO:0043632)	563	20	65.85	-	.30	2.67E-10	2.81E-08
regulation of nervous system process (GO:0031644)	146	52	17.08	+	3.04	2.61E-10	2.77E-08
protein-containing complex subunit organization (GO:0043933)	1605	106	187.74	-	.56	2.18E-10	2.33E-08
organic substance biosynthetic process (GO:1901576)	2803	220	327.87	-	.67	1.66E-10	1.78E-08
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	101	181.65	-	.56	1.52E-10	1.65E-08
mitotic cell cycle (GO:0000278)	750	33	87.73	-	.38	1.39E-10	1.51E-08
chromosome organization (GO:0051276)	1064	58	124.46	-	.47	1.19E-10	1.31E-08
ribosome biogenesis (GO:0042254)	329	5	38.48	-	.13	1.09E-10	1.20E-08
cellular biosynthetic process (GO:0044249)	2715	210	317.57	-	.66	9.13E-11	1.02E-08
sensory organ development (GO:0007423)	555	127	64.92	+	1.96	8.95E-11	1.00E-08
regulation of neurogenesis (GO:0050767)	364	95	42.58	+	2.23	7.54E-11	8.51E-09
macromolecule modification (GO:0043412)	3211	259	375.59	-	.69	7.45E-11	8.47E-09
central nervous system neuron differentiation (GO:0021953)	183	61	21.41	+	2.85	7.15E-11	8.19E-09
negative regulation of developmental process (GO:0051093)	879	179	102.82	+	1.74	6.68E-11	7.71E-09
regulation of synapse organization (GO:0050807)	210	67	24.56	+	2.73	6.30E-11	7.32E-09
transmembrane transport (GO:0055085)	1276	239	149.25	+	1.60	4.43E-11	5.19E-09
macromolecule biosynthetic process (GO:0009059)	1680	110	196.51	-	.56	3.63E-11	4.28E-09
regulation of synaptic plasticity (GO:0048167)	188	63	21.99	+	2.86	2.93E-11	3.48E-09
cell junction organization (GO:0034330)	502	120	58.72	+	2.04	2.81E-11	3.37E-09
anatomical structure formation involved in morphogenesis (GO:0048646)	883	181	103.28	+	1.75	2.73E-11	3.30E-09
ncRNA processing (GO:0034470)	436	10	51.00	-	.20	2.30E-11	2.80E-09
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	21	71.23	-	.29	2.25E-11	2.76E-09
cellular response to DNA damage stimulus (GO:0006974)	793	34	92.76	-	.37	1.79E-11	2.21E-09
protein catabolic process (GO:0030163)	697	27	81.53	-	.33	1.61E-11	2.01E-09
blood circulation (GO:0008015)	390	102	45.62	+	2.24	1.48E-11	1.85E-09
cellular protein catabolic process (GO:0044257)	644	23	75.33	-	.31	1.36E-11	1.72E-09
regulation of synapse structure or activity (GO:0050803)	221	71	25.85	+	2.75	1.28E-11	1.64E-09
neuron projection guidance (GO:0097485)	278	82	32.52	+	2.52	1.26E-11	1.62E-09
regulation of biological process (GO:0050789)	11898	1564	1391.71	+	1.12	1.18E-11	1.53E-09
neuropeptide signaling pathway (GO:0007218)	109	47	12.75	+	3.69	1.11E-11	1.45E-09
positive regulation of multicellular organismal process (GO:0051240)	1431	265	167.38	+	1.58	1.10E-11	1.45E-09
cell cycle process (GO:0022402)	957	46	111.94	-	.41	9.82E-12	1.30E-09
regulation of heart contraction (GO:0008016)	230	73	26.90	+	2.71	8.09E-12	1.08E-09
axon guidance (GO:0007411)	277	82	32.40	+	2.53	7.30E-12	9.86E-10
peptide biosynthetic process (GO:0043043)	414	8	48.43	-	.17	6.13E-12	8.35E-10
regulation of cellular process (GO:0050794)	11351	1504	1327.73	+	1.13	5.94E-12	8.17E-10
catabolic process (GO:0009056)	2096	144	245.17	-	.59	4.24E-12	5.87E-10
translation (GO:0006412)	387	6	45.27	-	.13	2.83E-12	3.96E-10
cellular catabolic process (GO:0044248)	1812	117	211.95	-	.55	2.15E-12	3.04E-10
biological regulation (GO:0065007)	12568	1646	1470.08	+	1.12	2.01E-12	2.86E-10
regulation of cell differentiation (GO:0045595)	1586	291	185.51	+	1.57	1.98E-12	2.84E-10
ribonucleoprotein complex biogenesis (GO:0022613)	462	10	54.04	-	.19	1.89E-12	2.74E-10
positive regulation of ion transport (GO:0043270)	297	88	34.74	+	2.53	1.49E-12	2.19E-10
cell fate commitment (GO:0045165)	238	77	27.84	+	2.77	1.22E-12	1.80E-10
regulation of blood circulation (GO:1903522)	278	85	32.52	+	2.61	1.07E-12	1.59E-10
ncRNA metabolic process (GO:0034660)	521	13	60.94	-	.21	9.81E-13	1.48E-10
regulation of secretion by cell (GO:1903530)	581	139	67.96	+	2.05	8.70E-13	1.32E-10
DNA metabolic process (GO:0006259)	777	30	90.89	-	.33	8.08E-13	1.24E-10
circulatory system process (GO:0003013)	481	122	56.26	+	2.17	6.56E-13	1.02E-10
biological adhesion (GO:0022610)	959	201	112.17	+	1.79	4.25E-13	6.65E-11
cellular macromolecule biosynthetic process (GO:0034645)	1639	99	191.71	-	.52	4.17E-13	6.60E-11
synapse organization (GO:0050808)	289	88	33.80	+	2.60	4.11E-13	6.57E-11
cell adhesion (GO:0007155)	953	200	111.47	+	1.79	3.67E-13	5.92E-11
taxis (GO:0042330)	550	135	64.33	+	2.10	3.62E-13	5.89E-11
nervous system process (GO:0050877)	1416	270	165.63	+	1.63	3.52E-13	5.79E-11
regulation of cation transmembrane transport (GO:1904062)	378	105	44.21	+	2.37	2.94E-13	4.90E-11
cellular protein metabolic process (GO:0044267)	3590	283	419.92	-	.67	2.36E-13	3.97E-11
protein modification by small protein conjugation or removal (GO:0070647)	1035	48	121.06	-	.40	2.25E-13	3.83E-11
chemotaxis (GO:0006935)	547	135	63.98	+	2.11	2.10E-13	3.61E-11
potassium ion transmembrane transport (GO:0071805)	158	62	18.48	+	3.35	1.74E-13	3.02E-11
organic substance catabolic process (GO:1901575)	1769	108	206.92	-	.52	1.03E-13	1.81E-11
signal transduction (GO:0007165)	5227	786	611.40	+	1.29	6.94E-14	1.23E-11
potassium ion transport (GO:0006813)	167	65	19.53	+	3.33	6.14E-14	1.10E-11
regulation of multicellular organismal development (GO:2000026)	1332	261	155.80	+	1.68	5.91E-14	1.07E-11
regulation of nervous system development (GO:0051960)	443	119	51.82	+	2.30	4.76E-14	8.75E-12
regulation of secretion (GO:0051046)	639	154	74.74	+	2.06	2.87E-14	5.33E-12
cell morphogenesis (GO:0000902)	715	167	83.63	+	2.00	1.78E-14	3.35E-12
movement of cell or subcellular component (GO:0006928)	1596	303	186.68	+	1.62	1.65E-14	3.14E-12
negative regulation of multicellular organismal process (GO:0051241)	1014	215	118.61	+	1.81	1.61E-14	3.10E-12
brain development (GO:0007420)	759	175	88.78	+	1.97	1.08E-14	2.11E-12
neuron projection development (GO:0031175)	691	164	80.83	+	2.03	1.05E-14	2.08E-12
cell part morphogenesis (GO:0032990)	526	136	61.53	+	2.21	1.00E-14	2.00E-12
inorganic cation transmembrane transport (GO:0098662)	573	144	67.02	+	2.15	9.67E-15	1.96E-12
cation transmembrane transport (GO:0098655)	641	156	74.98	+	2.08	7.96E-15	1.63E-12
cell morphogenesis involved in differentiation (GO:0000904)	559	142	65.39	+	2.17	7.68E-15	1.60E-12
tissue development (GO:0009888)	1729	324	202.24	+	1.60	6.98E-15	1.47E-12
head development (GO:0060322)	803	183	93.93	+	1.95	6.38E-15	1.36E-12
cell cycle (GO:0007049)	1316	66	153.93	-	.43	5.82E-15	1.26E-12
mRNA metabolic process (GO:0016071)	697	20	81.53	-	.25	3.61E-15	7.92E-13
cellular component morphogenesis (GO:0032989)	611	152	71.47	+	2.13	3.40E-15	7.56E-13
animal organ morphogenesis (GO:0009887)	956	209	111.82	+	1.87	3.05E-15	6.88E-13
axonogenesis (GO:0007409)	385	112	45.03	+	2.49	2.92E-15	6.68E-13
cation transport (GO:0006812)	824	188	96.38	+	1.95	2.48E-15	5.76E-13
axon development (GO:0061564)	421	119	49.24	+	2.42	2.22E-15	5.24E-13
cell projection morphogenesis (GO:0048858)	507	135	59.30	+	2.28	2.11E-15	5.04E-13
regulation of cell communication (GO:0010646)	3509	574	410.45	+	1.40	1.57E-15	3.83E-13
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	135	58.84	+	2.29	9.90E-16	2.44E-13
regulation of signaling (GO:0023051)	3545	581	414.66	+	1.40	6.55E-16	1.64E-13
neuron projection morphogenesis (GO:0048812)	499	135	58.37	+	2.31	5.07E-16	1.29E-13
regulation of developmental process (GO:0050793)	2461	434	287.86	+	1.51	4.80E-16	1.24E-13
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	127	52.99	+	2.40	4.01E-16	1.06E-13
inorganic ion transmembrane transport (GO:0098660)	637	160	74.51	+	2.15	3.93E-16	1.05E-13
locomotion (GO:0040011)	1345	274	157.32	+	1.74	1.93E-16	5.26E-14
organelle organization (GO:0006996)	3567	265	417.23	-	.64	1.83E-16	5.07E-14
ion transmembrane transport (GO:0034220)	870	201	101.76	+	1.98	8.06E-17	2.28E-14
macromolecule catabolic process (GO:0009057)	1058	41	123.75	-	.33	5.25E-17	1.51E-14
ion transport (GO:0006811)	1200	255	140.36	+	1.82	3.27E-17	9.58E-15
behavior (GO:0007610)	557	150	65.15	+	2.30	1.58E-17	4.72E-15
cellular macromolecule catabolic process (GO:0044265)	925	30	108.20	-	.28	7.74E-18	2.35E-15
RNA processing (GO:0006396)	930	30	108.78	-	.28	5.69E-18	1.76E-15
neuron development (GO:0048666)	846	202	98.96	+	2.04	3.51E-18	1.11E-15
regulation of membrane potential (GO:0042391)	437	130	51.12	+	2.54	3.42E-18	1.10E-15
regulation of ion transmembrane transport (GO:0034765)	502	143	58.72	+	2.44	2.02E-18	6.66E-16
regulation of transmembrane transport (GO:0034762)	591	159	69.13	+	2.30	1.72E-18	5.78E-16
chemical synaptic transmission (GO:0007268)	414	128	48.43	+	2.64	4.65E-19	1.63E-16
anterograde trans-synaptic signaling (GO:0098916)	414	128	48.43	+	2.64	4.65E-19	1.60E-16
synaptic signaling (GO:0099536)	464	138	54.27	+	2.54	3.69E-19	1.33E-16
regulation of system process (GO:0044057)	585	162	68.43	+	2.37	7.67E-20	2.82E-17
trans-synaptic signaling (GO:0099537)	432	134	50.53	+	2.65	5.17E-20	1.95E-17
cell development (GO:0048468)	1646	336	192.53	+	1.75	3.29E-20	1.27E-17
RNA metabolic process (GO:0016070)	1582	73	185.05	-	.39	3.12E-20	1.23E-17
cell communication (GO:0007154)	5656	885	661.58	+	1.34	1.00E-20	4.07E-18
cellular macromolecule metabolic process (GO:0044260)	4909	376	574.21	-	.65	4.29E-21	1.79E-18
regulation of trans-synaptic signaling (GO:0099177)	432	138	50.53	+	2.73	1.67E-21	7.15E-19
modulation of chemical synaptic transmission (GO:0050804)	431	138	50.41	+	2.74	1.46E-21	6.39E-19
macromolecule metabolic process (GO:0043170)	6151	501	719.48	-	.70	1.29E-21	5.83E-19
organic cyclic compound metabolic process (GO:1901360)	3182	206	372.20	-	.55	8.81E-22	4.10E-19
signaling (GO:0023052)	5565	880	650.94	+	1.35	8.25E-22	3.95E-19
regulation of transport (GO:0051049)	1772	363	207.27	+	1.75	3.40E-22	1.68E-19
central nervous system development (GO:0007417)	1000	242	116.97	+	2.07	2.45E-22	1.25E-19
system process (GO:0003008)	2057	407	240.61	+	1.69	1.81E-22	9.54E-20
organic substance metabolic process (GO:0071704)	7840	675	917.05	-	.74	9.51E-23	5.18E-20
primary metabolic process (GO:0044238)	7352	620	859.96	-	.72	3.53E-23	1.99E-20
gene expression (GO:0010467)	2117	108	247.63	-	.44	3.41E-23	1.99E-20
metabolic process (GO:0008152)	8313	723	972.37	-	.74	1.66E-23	1.01E-20
nitrogen compound metabolic process (GO:0006807)	6886	568	805.46	-	.71	1.31E-23	8.29E-21
cellular aromatic compound metabolic process (GO:0006725)	2937	176	343.54	-	.51	5.30E-24	3.49E-21
